source,question,answer,img_id,question_norm,question_type,answer_type
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3nz071uch6e0sas,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl0s3nz071uch6e0sas,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl0s3nz071uch6e0sas,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3nz071uch6e0sas,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3nz071uch6e0sas,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3nz071uch6e0sas,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3nz071uch6e0sas,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3nz071uch6e0sas,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3nz071uch6e0sas,how many findings are present,Counting,Numeric
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3nz071uch6e0sas,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3nz071uch6e0sas,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3nz071uch6e0sas,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3nz071uch6e0sas,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3nz071uch6e0sas,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3nz071uch6e0sas,where in the image is the abnormality,Location,List
Ulcerative Colitis,Is there text?,yes,cla820gl0s3o3071ufxqh1brg,is there text,Yes/No,Yes/No
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3o3071ufxqh1brg,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3o3071ufxqh1brg,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3o3071ufxqh1brg,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3o3071ufxqh1brg,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3o3071ufxqh1brg,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3o3071ufxqh1brg,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3o3071ufxqh1brg,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3o3071ufxqh1brg,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3o3071ufxqh1brg,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3o3071ufxqh1brg,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3o3071ufxqh1brg,where in the image is the abnormality,Location,List
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3o3071ufxqh1brg,how many findings are present,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3o3071ufxqh1brg,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3o3071ufxqh1brg,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3o3071ufxqh1brg,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3o3071ufxqh1brg,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3o7071u4ouwcitb,how many findings are present,Counting,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3o7071u4ouwcitb,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gl0s3o7071u4ouwcitb,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3o7071u4ouwcitb,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3o7071u4ouwcitb,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3o7071u4ouwcitb,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3o7071u4ouwcitb,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3o7071u4ouwcitb,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3o7071u4ouwcitb,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3o7071u4ouwcitb,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3o7071u4ouwcitb,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3o7071u4ouwcitb,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3o7071u4ouwcitb,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3o7071u4ouwcitb,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3o7071u4ouwcitb,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3o7071u4ouwcitb,where in the image is the abnormality,Location,List
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3o7071u4ouwcitb,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3ob071u5z04bn3r,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3ob071u5z04bn3r,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3ob071u5z04bn3r,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3ob071u5z04bn3r,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3ob071u5z04bn3r,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3ob071u5z04bn3r,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3ob071u5z04bn3r,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3ob071u5z04bn3r,how many findings are present,Counting,Numeric
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3ob071u5z04bn3r,where in the image is the abnormality,Location,List
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3ob071u5z04bn3r,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3ob071u5z04bn3r,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3ob071u5z04bn3r,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3ob071u5z04bn3r,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3ob071u5z04bn3r,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3ob071u5z04bn3r,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3ob071u5z04bn3r,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gl0s3ob071u5z04bn3r,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3of071u96ilg9hm,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3of071u96ilg9hm,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3of071u96ilg9hm,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3of071u96ilg9hm,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3of071u96ilg9hm,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3of071u96ilg9hm,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3of071u96ilg9hm,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3of071u96ilg9hm,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3of071u96ilg9hm,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl0s3of071u96ilg9hm,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3of071u96ilg9hm,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3of071u96ilg9hm,how many findings are present,Counting,Numeric
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3of071u96ilg9hm,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3of071u96ilg9hm,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3of071u96ilg9hm,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3of071u96ilg9hm,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3of071u96ilg9hm,where in the image is the abnormality,Location,List
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3oj071u5qln6oim,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3oj071u5qln6oim,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3oj071u5qln6oim,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3oj071u5qln6oim,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3oj071u5qln6oim,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3oj071u5qln6oim,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3oj071u5qln6oim,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3oj071u5qln6oim,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Is there text?,yes,cla820gl0s3oj071u5qln6oim,is there text,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3oj071u5qln6oim,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3oj071u5qln6oim,where in the image is the abnormality,Location,List
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3oj071u5qln6oim,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3oj071u5qln6oim,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3oj071u5qln6oim,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3oj071u5qln6oim,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3oj071u5qln6oim,how many findings are present,Counting,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3oj071u5qln6oim,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3on071u1e7gbeh0,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3on071u1e7gbeh0,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3on071u1e7gbeh0,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3on071u1e7gbeh0,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3on071u1e7gbeh0,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3on071u1e7gbeh0,where in the image is the abnormality,Location,List
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3on071u1e7gbeh0,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3on071u1e7gbeh0,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3on071u1e7gbeh0,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3on071u1e7gbeh0,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3on071u1e7gbeh0,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3on071u1e7gbeh0,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3on071u1e7gbeh0,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3on071u1e7gbeh0,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3on071u1e7gbeh0,how many findings are present,Counting,Numeric
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3on071u1e7gbeh0,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl1s3on071u1e7gbeh0,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3or071udurk9106,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3or071udurk9106,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3or071udurk9106,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3or071udurk9106,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3or071udurk9106,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3or071udurk9106,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3or071udurk9106,where in the image is the abnormality,Location,List
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3or071udurk9106,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3or071udurk9106,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3or071udurk9106,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3or071udurk9106,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3or071udurk9106,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3or071udurk9106,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3or071udurk9106,how many findings are present,Counting,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gl1s3or071udurk9106,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3or071udurk9106,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3or071udurk9106,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3ov071u2b7h3r59,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3ov071u2b7h3r59,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3ov071u2b7h3r59,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3ov071u2b7h3r59,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3ov071u2b7h3r59,how many findings are present,Counting,Numeric
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl1s3ov071u2b7h3r59,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3ov071u2b7h3r59,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3ov071u2b7h3r59,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3ov071u2b7h3r59,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3ov071u2b7h3r59,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3ov071u2b7h3r59,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl1s3ov071u2b7h3r59,is there text,Yes/No,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3ov071u2b7h3r59,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3ov071u2b7h3r59,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3ov071u2b7h3r59,where in the image is the abnormality,Location,List
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3ov071u2b7h3r59,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3ov071u2b7h3r59,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3oz071u2ixjf7yk,how many findings are present,Counting,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3oz071u2ixjf7yk,is this finding easy to detect,Yes/No,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3oz071u2ixjf7yk,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3oz071u2ixjf7yk,what is the size of the polyp,Entity,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3oz071u2ixjf7yk,are there any instruments in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3oz071u2ixjf7yk,where in the image is the anatomical landmark,Location,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3oz071u2ixjf7yk,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3oz071u2ixjf7yk,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3oz071u2ixjf7yk,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3oz071u2ixjf7yk,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3oz071u2ixjf7yk,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3oz071u2ixjf7yk,how many polyps are in the image,Counting,Numeric
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3oz071u2ixjf7yk,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3oz071u2ixjf7yk,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3oz071u2ixjf7yk,where in the image is the abnormality,Location,List
Ulcerative Colitis,Is there text?,no,cla820gl1s3oz071u2ixjf7yk,is there text,Yes/No,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3oz071u2ixjf7yk,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3p3071udi3n74jf,what type of procedure is the image taken from,Entity,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3p3071udi3n74jf,what type of polyp is present,Entity,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3p3071udi3n74jf,have all polyps been removed,Yes/No,Token
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white; yellow,cla820gl1s3p3071udi3n74jf,what color is the abnormality if more than one separate with,Color,List
Ulcerative Colitis,Is there text?,yes,cla820gl1s3p3071udi3n74jf,is there text,Yes/No,Yes/No
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3p3071udi3n74jf,is there a green black box artefact,Yes/No,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3p3071udi3n74jf,are there any abnormalities in the image check all that are present,Yes/No,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3p3071udi3n74jf,where in the image is the instrument,Location,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3p3071udi3n74jf,how many instrumnets are in the image,Counting,Numeric
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3p3071udi3n74jf,are there any anatomical landmarks in the image check all that are present,Yes/No,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3p3071udi3n74jf,is this finding easy to detect,Yes/No,Yes/No
