split,img_id,image_path,question,answer,question_type,answer_type,orig_height,orig_width
train,cla820gl0s3nz071uch6e0sas,out/images/raw/cla820gl0s3nz071uch6e0sas.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Is there text?,yes,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Is this finding easy to detect?,no,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,How many findings are present?,1,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl0s3o3071ufxqh1brg,out/images/raw/cla820gl0s3o3071ufxqh1brg.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,How many findings are present?,1,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Is there text?,yes,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl0s3o7071u4ouwcitb,out/images/raw/cla820gl0s3o7071u4ouwcitb.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,How many findings are present?,1,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Is this finding easy to detect?,no,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl0s3ob071u5z04bn3r,out/images/raw/cla820gl0s3ob071u5z04bn3r.jpg,Is there text?,yes,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Is there text?,yes,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,How many findings are present?,1,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl0s3of071u96ilg9hm,out/images/raw/cla820gl0s3of071u96ilg9hm.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Is there text?,yes,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,How many findings are present?,1,,,576,720
train,cla820gl0s3oj071u5qln6oim,out/images/raw/cla820gl0s3oj071u5qln6oim.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,How many findings are present?,1,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl1s3on071u1e7gbeh0,out/images/raw/cla820gl1s3on071u1e7gbeh0.jpg,Is there text?,yes,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Is there a green/black box artefact?,no,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,How many findings are present?,1,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Is there text?,yes,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl1s3or071udurk9106,out/images/raw/cla820gl1s3or071udurk9106.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,What type of polyp is present?,none,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Are there any instruments in the image? Check all that are present.,none,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Have all polyps been removed?,not relevant,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,How many polyps are in the image?,0,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,How many findings are present?,1,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Is there a green/black box artefact?,yes,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Are there any anatomical landmarks in the image? Check all that are present.,none,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Is this finding easy to detect?,yes,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,What type of procedure is the image taken from?,colonoscopy,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Where in the image is the instrument?,none,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Is there text?,yes,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,How many instrumnets are in the image?,0,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,What is the size of the polyp?,none,,,576,720
train,cla820gl1s3ov071u2b7h3r59,out/images/raw/cla820gl1s3ov071u2b7h3r59.jpg,Where in the image is the anatomical landmark?,none,,,576,720
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,How many findings are present?,1,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,Is this finding easy to detect?,yes,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,What type of polyp is present?,none,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,What is the size of the polyp?,none,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,Are there any instruments in the image? Check all that are present.,none,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,Where in the image is the anatomical landmark?,none,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,Have all polyps been removed?,not relevant,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,Where in the image is the instrument?,none,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,What color is the abnormality? If more than one separate with ;,pink; red,,,1080,1350
train,cla820gl1s3oz071u2ixjf7yk,out/images/raw/cla820gl1s3oz071u2ixjf7yk.jpg,Is there a green/black box artefact?,no,,,1080,1350
