qid,query,field,field_display,tp,fp,fn,precision_q,recall_q,f1_q
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,comparator,Comparator,2,0,0,1.0,1.0,1.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,outcomes,Outcomes,0,1,1,0.0,0.0,0.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,severity_anchors,Severity anchors,0,2,0,0.0,0.0,0.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,setting,Setting,0,0,0,0.0,0.0,0.0
q003,What is the evidence that vedolizumab versus usual care changes steroid-free remission in adults with severe ulcerative colitis at 24 weeks?,constraints,Constraints,0,0,0,0.0,0.0,0.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",population,Population,1,0,0,1.0,1.0,1.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",comparator,Comparator,0,0,0,0.0,0.0,0.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",outcomes,Outcomes,0,0,1,0.0,0.0,0.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",severity_anchors,Severity anchors,1,0,0,1.0,1.0,1.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",setting,Setting,0,1,1,0.0,0.0,0.0
q004,"In hospital care, should outpatients with ulcerative colitis receive ustekinumab rather than adalimumab for adverse events at short-term? The patient currently has MES 3.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",population,Population,1,0,0,1.0,1.0,1.0
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",comparator,Comparator,1,1,0,0.5,1.0,0.6666666666666666
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",outcomes,Outcomes,0,1,0,0.0,0.0,0.0
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",severity_anchors,Severity anchors,1,0,0,1.0,1.0,1.0
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",setting,Setting,1,0,0,1.0,1.0,1.0
q005,"In patients with MES 2 ulcerative colitis, does advanced therapy versus tofacitinib improve hospitalization risk at long-term in outpatient setting?",constraints,Constraints,0,0,0,0.0,0.0,0.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",population,Population,2,0,0,1.0,1.0,1.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",intervention,Intervention,1,0,0,1.0,1.0,1.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",comparator,Comparator,1,0,0,1.0,1.0,1.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",outcomes,Outcomes,1,1,0,0.5,1.0,0.6666666666666666
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",severity_anchors,Severity anchors,0,1,0,0.0,0.0,0.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",setting,Setting,0,0,1,0.0,0.0,0.0
q006,"For adults with ulcerative colitis, compare biologic therapy with placebo for clinical remission over 8 weeks.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,population,Population,3,0,0,1.0,1.0,1.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,intervention,Intervention,1,0,0,1.0,1.0,1.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,comparator,Comparator,2,0,0,1.0,1.0,1.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,outcomes,Outcomes,1,0,0,1.0,1.0,1.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,severity_anchors,Severity anchors,1,1,0,0.5,1.0,0.6666666666666666
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,setting,Setting,0,0,0,0.0,0.0,0.0
q007,What is the evidence that infliximab versus standard care changes endoscopic improvement in adults with moderate ulcerative colitis at 12 weeks? The patient currently has MES 2.,constraints,Constraints,0,0,0,0.0,0.0,0.0
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",population,Population,3,0,0,1.0,1.0,1.0
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",comparator,Comparator,1,0,0,1.0,1.0,1.0
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",outcomes,Outcomes,0,1,1,0.0,0.0,0.0
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",severity_anchors,Severity anchors,1,2,0,0.3333333333333333,1.0,0.5
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",setting,Setting,1,0,0,1.0,1.0,1.0
q008,"In hospital care, should adults with severe ulcerative colitis receive vedolizumab rather than usual care for steroid-free remission at 24 weeks? Consider UCEIS 5 context.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",population,Population,1,0,0,1.0,1.0,1.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",comparator,Comparator,1,0,0,1.0,1.0,1.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",outcomes,Outcomes,0,0,1,0.0,0.0,0.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",severity_anchors,Severity anchors,0,0,0,0.0,0.0,0.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",setting,Setting,1,0,0,1.0,1.0,1.0
q009,"In outpatients with ulcerative colitis, does ustekinumab versus adalimumab improve adverse events at short-term in outpatient setting?",constraints,Constraints,0,0,0,0.0,0.0,0.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",population,Population,1,0,0,1.0,1.0,1.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",comparator,Comparator,0,0,0,0.0,0.0,0.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",outcomes,Outcomes,0,1,0,0.0,0.0,0.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",severity_anchors,Severity anchors,2,0,0,1.0,1.0,1.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",setting,Setting,0,0,1,0.0,0.0,0.0
q010,"For patients with MES 2 ulcerative colitis, compare advanced therapy with tofacitinib for hospitalization risk over long-term. The patient currently has MES 1.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,population,Population,2,0,0,1.0,1.0,1.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,intervention,Intervention,1,0,0,1.0,1.0,1.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,comparator,Comparator,2,0,0,1.0,1.0,1.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,outcomes,Outcomes,1,1,0,0.5,1.0,0.6666666666666666
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,severity_anchors,Severity anchors,0,1,0,0.0,0.0,0.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,setting,Setting,0,0,1,0.0,0.0,0.0
q011,What is the evidence that biologic therapy versus placebo changes clinical remission in adults with ulcerative colitis at 8 weeks?,constraints,Constraints,0,0,0,0.0,0.0,0.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",population,Population,3,0,0,1.0,1.0,1.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",intervention,Intervention,1,0,0,1.0,1.0,1.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",comparator,Comparator,1,0,0,1.0,1.0,1.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",outcomes,Outcomes,1,0,0,1.0,1.0,1.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",severity_anchors,Severity anchors,0,1,0,0.0,0.0,0.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",setting,Setting,1,0,0,1.0,1.0,1.0
q012,"In hospital care, should adults with moderate ulcerative colitis receive infliximab rather than standard care for endoscopic improvement at 12 weeks? Also, what dose in mg should be prescribed?",constraints,Constraints,0,0,1,0.0,0.0,0.0
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",population,Population,3,0,0,1.0,1.0,1.0
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",comparator,Comparator,2,1,0,0.6666666666666666,1.0,0.8
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",outcomes,Outcomes,0,1,1,0.0,0.0,0.0
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",severity_anchors,Severity anchors,1,2,0,0.3333333333333333,1.0,0.5
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",setting,Setting,1,0,0,1.0,1.0,1.0
q013,"In adults with severe ulcerative colitis, does vedolizumab versus usual care improve steroid-free remission at 24 weeks in outpatient setting? The patient currently has MES 0.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",population,Population,1,0,0,1.0,1.0,1.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",comparator,Comparator,0,0,0,0.0,0.0,0.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",outcomes,Outcomes,0,0,1,0.0,0.0,0.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",severity_anchors,Severity anchors,0,0,0,0.0,0.0,0.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",setting,Setting,0,0,1,0.0,0.0,0.0
q014,"For outpatients with ulcerative colitis, compare ustekinumab with adalimumab for adverse events over short-term.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,population,Population,1,0,0,1.0,1.0,1.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,comparator,Comparator,1,0,0,1.0,1.0,1.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,outcomes,Outcomes,0,1,0,0.0,0.0,0.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,severity_anchors,Severity anchors,2,0,0,1.0,1.0,1.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,setting,Setting,0,0,1,0.0,0.0,0.0
q015,What is the evidence that advanced therapy versus tofacitinib changes hospitalization risk in patients with MES 2 ulcerative colitis at long-term? Consider UCEIS 5 context.,constraints,Constraints,0,0,0,0.0,0.0,0.0
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",population,Population,2,0,0,1.0,1.0,1.0
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",intervention,Intervention,1,0,0,1.0,1.0,1.0
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",comparator,Comparator,1,0,0,1.0,1.0,1.0
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",outcomes,Outcomes,1,1,0,0.5,1.0,0.6666666666666666
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",severity_anchors,Severity anchors,1,1,0,0.5,1.0,0.6666666666666666
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",setting,Setting,0,1,1,0.0,0.0,0.0
q016,"In hospital care, should adults with ulcerative colitis receive biologic therapy rather than placebo for clinical remission at 8 weeks? The patient currently has MES 3.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",population,Population,3,0,0,1.0,1.0,1.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",intervention,Intervention,1,0,0,1.0,1.0,1.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",comparator,Comparator,2,1,0,0.6666666666666666,1.0,0.8
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",outcomes,Outcomes,1,0,0,1.0,1.0,1.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",severity_anchors,Severity anchors,0,1,0,0.0,0.0,0.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",setting,Setting,1,0,0,1.0,1.0,1.0
q017,"In adults with moderate ulcerative colitis, does infliximab versus standard care improve endoscopic improvement at 12 weeks in outpatient setting?",constraints,Constraints,0,0,0,0.0,0.0,0.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",population,Population,3,0,0,1.0,1.0,1.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",comparator,Comparator,1,0,0,1.0,1.0,1.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",outcomes,Outcomes,0,1,1,0.0,0.0,0.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",severity_anchors,Severity anchors,0,2,0,0.0,0.0,0.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",setting,Setting,0,0,0,0.0,0.0,0.0
q018,"For adults with severe ulcerative colitis, compare vedolizumab with usual care for steroid-free remission over 24 weeks.",constraints,Constraints,0,0,0,0.0,0.0,0.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,population,Population,1,0,0,1.0,1.0,1.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,comparator,Comparator,1,0,0,1.0,1.0,1.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,outcomes,Outcomes,0,0,1,0.0,0.0,0.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,severity_anchors,Severity anchors,1,0,0,1.0,1.0,1.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,setting,Setting,0,0,1,0.0,0.0,0.0
q019,What is the evidence that ustekinumab versus adalimumab changes adverse events in outpatients with ulcerative colitis at short-term? The patient currently has MES 2.,constraints,Constraints,0,0,0,0.0,0.0,0.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",population,Population,1,0,0,1.0,1.0,1.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",intervention,Intervention,1,1,0,0.5,1.0,0.6666666666666666
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",comparator,Comparator,0,0,0,0.0,0.0,0.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",outcomes,Outcomes,0,1,0,0.0,0.0,0.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",severity_anchors,Severity anchors,1,0,0,1.0,1.0,1.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",timeframe,Timeframe,1,0,0,1.0,1.0,1.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",setting,Setting,1,0,0,1.0,1.0,1.0
q020,"In hospital care, should patients with MES 2 ulcerative colitis receive advanced therapy rather than tofacitinib for hospitalization risk at long-term?",constraints,Constraints,0,0,0,0.0,0.0,0.0
