source,question,answer,img_id
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Is there text?,yes,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3ov071u2b7h3r59
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Is there text?,no,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3oz071u2ixjf7yk
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white; yellow,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Is there text?,yes,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Where in the image is the abnormality?,center; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3p3071udi3n74jf
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Is there text?,yes,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3p7071u7m8c1gl7
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Is there text?,yes,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3pb071u45lb0snu
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Is there text?,yes,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3pf071ue7ja2fur
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Is there text?,no,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3pj071u0wta8adz
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3pn071u6vzxgsxv
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3pn071u6vzxgsxv
