source,question,answer,img_id,question_type,question_norm,answer_type
Ulcerative Colitis,Is there text?,yes,cla820gl0s3nz071uch6e0sas,Yes/No,is there text,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3nz071uch6e0sas,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3nz071uch6e0sas,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl0s3nz071uch6e0sas,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white,cla820gl0s3nz071uch6e0sas,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3nz071uch6e0sas,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3nz071uch6e0sas,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3nz071uch6e0sas,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3nz071uch6e0sas,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3nz071uch6e0sas,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3nz071uch6e0sas,Counting,how many findings are present,Numeric
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3nz071uch6e0sas,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3nz071uch6e0sas,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3nz071uch6e0sas,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3nz071uch6e0sas,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3nz071uch6e0sas,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3nz071uch6e0sas,Location,where in the image is the abnormality,List
Ulcerative Colitis,Is there text?,yes,cla820gl0s3o3071ufxqh1brg,Yes/No,is there text,Yes/No
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3o3071ufxqh1brg,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3o3071ufxqh1brg,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3o3071ufxqh1brg,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3o3071ufxqh1brg,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3o3071ufxqh1brg,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3o3071ufxqh1brg,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3o3071ufxqh1brg,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3o3071ufxqh1brg,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3o3071ufxqh1brg,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3o3071ufxqh1brg,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3o3071ufxqh1brg,Location,where in the image is the abnormality,List
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3o3071ufxqh1brg,Counting,how many findings are present,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3o3071ufxqh1brg,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3o3071ufxqh1brg,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3o3071ufxqh1brg,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3o3071ufxqh1brg,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3o7071u4ouwcitb,Counting,how many findings are present,Numeric
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3o7071u4ouwcitb,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gl0s3o7071u4ouwcitb,Yes/No,is there text,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3o7071u4ouwcitb,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3o7071u4ouwcitb,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3o7071u4ouwcitb,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3o7071u4ouwcitb,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3o7071u4ouwcitb,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3o7071u4ouwcitb,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3o7071u4ouwcitb,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3o7071u4ouwcitb,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3o7071u4ouwcitb,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3o7071u4ouwcitb,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3o7071u4ouwcitb,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3o7071u4ouwcitb,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3o7071u4ouwcitb,Location,where in the image is the abnormality,List
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3o7071u4ouwcitb,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3ob071u5z04bn3r,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3ob071u5z04bn3r,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3ob071u5z04bn3r,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3ob071u5z04bn3r,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3ob071u5z04bn3r,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3ob071u5z04bn3r,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3ob071u5z04bn3r,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3ob071u5z04bn3r,Counting,how many findings are present,Numeric
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3ob071u5z04bn3r,Location,where in the image is the abnormality,List
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3ob071u5z04bn3r,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3ob071u5z04bn3r,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Is this finding easy to detect?,no,cla820gl0s3ob071u5z04bn3r,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3ob071u5z04bn3r,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3ob071u5z04bn3r,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3ob071u5z04bn3r,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3ob071u5z04bn3r,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gl0s3ob071u5z04bn3r,Yes/No,is there text,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3of071u96ilg9hm,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3of071u96ilg9hm,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3of071u96ilg9hm,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3of071u96ilg9hm,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3of071u96ilg9hm,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3of071u96ilg9hm,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3of071u96ilg9hm,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3of071u96ilg9hm,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3of071u96ilg9hm,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl0s3of071u96ilg9hm,Yes/No,is there text,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3of071u96ilg9hm,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3of071u96ilg9hm,Counting,how many findings are present,Numeric
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3of071u96ilg9hm,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3of071u96ilg9hm,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3of071u96ilg9hm,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3of071u96ilg9hm,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3of071u96ilg9hm,Location,where in the image is the abnormality,List
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl0s3oj071u5qln6oim,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl0s3oj071u5qln6oim,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl0s3oj071u5qln6oim,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl0s3oj071u5qln6oim,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl0s3oj071u5qln6oim,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl0s3oj071u5qln6oim,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl0s3oj071u5qln6oim,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl0s3oj071u5qln6oim,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl0s3oj071u5qln6oim,Yes/No,is there text,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl0s3oj071u5qln6oim,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl0s3oj071u5qln6oim,Location,where in the image is the abnormality,List
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl0s3oj071u5qln6oim,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl0s3oj071u5qln6oim,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl0s3oj071u5qln6oim,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl0s3oj071u5qln6oim,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,How many findings are present?,1,cla820gl0s3oj071u5qln6oim,Counting,how many findings are present,Numeric
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl0s3oj071u5qln6oim,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3on071u1e7gbeh0,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3on071u1e7gbeh0,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3on071u1e7gbeh0,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3on071u1e7gbeh0,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3on071u1e7gbeh0,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3on071u1e7gbeh0,Location,where in the image is the abnormality,List
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3on071u1e7gbeh0,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3on071u1e7gbeh0,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3on071u1e7gbeh0,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3on071u1e7gbeh0,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3on071u1e7gbeh0,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3on071u1e7gbeh0,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3on071u1e7gbeh0,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3on071u1e7gbeh0,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3on071u1e7gbeh0,Counting,how many findings are present,Numeric
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3on071u1e7gbeh0,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl1s3on071u1e7gbeh0,Yes/No,is there text,Yes/No
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3or071udurk9106,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3or071udurk9106,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3or071udurk9106,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3or071udurk9106,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3or071udurk9106,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3or071udurk9106,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3or071udurk9106,Location,where in the image is the abnormality,List
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3or071udurk9106,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3or071udurk9106,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3or071udurk9106,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3or071udurk9106,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3or071udurk9106,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3or071udurk9106,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3or071udurk9106,Counting,how many findings are present,Numeric
Ulcerative Colitis,Is there text?,yes,cla820gl1s3or071udurk9106,Yes/No,is there text,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3or071udurk9106,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3or071udurk9106,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3ov071u2b7h3r59,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3ov071u2b7h3r59,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3ov071u2b7h3r59,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3ov071u2b7h3r59,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3ov071u2b7h3r59,Counting,how many findings are present,Numeric
Ulcerative Colitis,Is there a green/black box artefact?,yes,cla820gl1s3ov071u2b7h3r59,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3ov071u2b7h3r59,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3ov071u2b7h3r59,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3ov071u2b7h3r59,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3ov071u2b7h3r59,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3ov071u2b7h3r59,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,Is there text?,yes,cla820gl1s3ov071u2b7h3r59,Yes/No,is there text,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3ov071u2b7h3r59,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3ov071u2b7h3r59,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3ov071u2b7h3r59,Location,where in the image is the abnormality,List
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3ov071u2b7h3r59,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3ov071u2b7h3r59,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,How many findings are present?,1,cla820gl1s3oz071u2ixjf7yk,Counting,how many findings are present,Numeric
Ulcerative Colitis,Is this finding easy to detect?,yes,cla820gl1s3oz071u2ixjf7yk,Yes/No,is this finding easy to detect,Yes/No
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3oz071u2ixjf7yk,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,What is the size of the polyp?,none,cla820gl1s3oz071u2ixjf7yk,Entity,what is the size of the polyp,None/NA
Ulcerative Colitis,Are there any instruments in the image? Check all that are present.,none,cla820gl1s3oz071u2ixjf7yk,Yes/No,are there any instruments in the image? check all that are present,None/NA
Ulcerative Colitis,Where in the image is the anatomical landmark?,none,cla820gl1s3oz071u2ixjf7yk,Location,where in the image is the anatomical landmark,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3oz071u2ixjf7yk,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3oz071u2ixjf7yk,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red,cla820gl1s3oz071u2ixjf7yk,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3oz071u2ixjf7yk,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3oz071u2ixjf7yk,Counting,how many instrumnets are in the image,Numeric
Ulcerative Colitis,How many polyps are in the image?,0,cla820gl1s3oz071u2ixjf7yk,Counting,how many polyps are in the image,Numeric
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3oz071u2ixjf7yk,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3oz071u2ixjf7yk,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Where in the image is the abnormality?,center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,cla820gl1s3oz071u2ixjf7yk,Location,where in the image is the abnormality,List
Ulcerative Colitis,Is there text?,no,cla820gl1s3oz071u2ixjf7yk,Yes/No,is there text,Yes/No
Ulcerative Colitis,Are there any anatomical landmarks in the image? Check all that are present.,none,cla820gl1s3oz071u2ixjf7yk,Yes/No,are there any anatomical landmarks in the image? check all that are present,None/NA
Ulcerative Colitis,What type of procedure is the image taken from?,colonoscopy,cla820gl1s3p3071udi3n74jf,Entity,what type of procedure is the image taken from,Token
Ulcerative Colitis,What type of polyp is present?,none,cla820gl1s3p3071udi3n74jf,Entity,what type of polyp is present,None/NA
Ulcerative Colitis,Have all polyps been removed?,not relevant,cla820gl1s3p3071udi3n74jf,Yes/No,have all polyps been removed,None/NA
Ulcerative Colitis,What color is the abnormality? If more than one separate with ;,pink; red; white; yellow,cla820gl1s3p3071udi3n74jf,Color,what color is the abnormality? if more than one separate with ;,List
Ulcerative Colitis,Is there text?,yes,cla820gl1s3p3071udi3n74jf,Yes/No,is there text,Yes/No
Ulcerative Colitis,Is there a green/black box artefact?,no,cla820gl1s3p3071udi3n74jf,Yes/No,is there a green/black box artefact,Yes/No
Ulcerative Colitis,Are there any abnormalities in the image? Check all that are present.,ulcerative colitis,cla820gl1s3p3071udi3n74jf,Yes/No,are there any abnormalities in the image? check all that are present,Token
Ulcerative Colitis,Where in the image is the instrument?,none,cla820gl1s3p3071udi3n74jf,Location,where in the image is the instrument,None/NA
Ulcerative Colitis,How many instrumnets are in the image?,0,cla820gl1s3p3071udi3n74jf,Counting,how many instrumnets are in the image,Numeric
